"[AA]죄종별","죄종별","[BB]공범관계별","공범관계별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"03","폭력범죄","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","8955","8743","7287","6726","5019","4613","4372","4123","3431","2920",
"03","폭력범죄","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","237","140","141","111","69","43","38","61","44","44",
"03","폭력범죄","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","19312","20625","17414","15400","13328","12437","12661","11448","10698","9642",
"03","폭력범죄","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","3053","2848","2627","2398","2134","1875","1678","1473","1115","1010",
"03","폭력범죄","BB208","애인","BB1[14STD04548]","범죄자[명]","명","1999","2261","2012","1656","1258","1207","1297","1109","1065","850",
"03","폭력범죄","BB209","기타","BB1[14STD04548]","범죄자[명]","명","27815","28102","20235","17166","14220","11825","11644","12752","9971","8826",
"03","폭력범죄","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","106097","104091","109206","32740","21566","30929","122611","119878","106231",
"0301","상해","BB1","계","BB1[14STD04548]","범죄자[명]","명","89138","84850","75206","66885","62059","65695","58851","52867","48854","43552",
"0301","상해","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","82905","72810","65297","57960","58447","60761","52915","43936","41201","36929",
"0301","상해","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","5916","4341","3701","2256","3882","4481","4015","2976","2309",
"0301","상해","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","347","382","236","231","169","365","358","378","328","156",
"0301","상해","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","1","2","2","2","6","4","5","9","6","4",
"0301","상해","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","748","672","675","501","311","463","551","384","327","213",
"0301","상해","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","757","783","582","549","309","459","435","427","284","248",
"0301","상해","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","11","10","9","14","9","2","6","4","6","2",
"0301","상해","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","759","774","677","532","355","963","978","798","677","568",
"0301","상해","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","149","134","101","104","66","267","214","132","82","80",
"0301","상해","BB208","애인","BB1[14STD04548]","범죄자[명]","명","180","205","165","165","79","126","147","108","102","68",
"0301","상해","BB209","기타","BB1[14STD04548]","범죄자[명]","명","3281","2954","1894","1603","952","1233","1787","1775","1164","970",
"0301","상해","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","6124","5568","5224","1356","1052","1455","4916","4677","4314",
"0302","폭행","BB1","계","BB1[14STD04548]","범죄자[명]","명","161782","167975","166337","171166","192308","216857","210745","204801","202710","178448",
"0302","폭행","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","154287","80493","80481","80343","168325","198838","182418","98270","102568","92978",
"0302","폭행","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","7642","6660","5968","4247","6052","7287","8328","6205","5035",
"0302","폭행","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","419","603","529","487","314","573","634","777","542","403",
"0302","폭행","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","1","6","1","","","3","6","13","9","19",
"0302","폭행","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","991","876","925","803","532","643","846","703","545","450",
"0302","폭행","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","897","934","806","731","620","875","937","945","777","655",
"0302","폭행","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","9","11","20","16","2","8","4","16","8","15",
"0302","폭행","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","1027","1225","1239","1114","1002","1451","1661","1710","1476","1179",
"0302","폭행","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","159","130","124","157","134","216","220","212","157","128",
"0302","폭행","BB208","애인","BB1[14STD04548]","범죄자[명]","명","260","270","268","224","186","222","308","268","257","174",
"0302","폭행","BB209","기타","BB1[14STD04548]","범죄자[명]","명","3732","3587","2748","2436","1457","2061","2671","3684","2434","2012",
"0302","폭행","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","79840","79196","84855","19736","11967","21040","98203","93937","80435",
"0303","체포·감금","BB1","계","BB1[14STD04548]","범죄자[명]","명","969","1113","1086","1118","1226","1687","1911","1608","1654","1695",
"0303","체포·감금","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","790","436","522","479","820","1111","1266","680","669","630",
"0303","체포·감금","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","232","124","132","164","313","350","276","303","344",
"0303","체포·감금","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","3","6","2","3","15","10","29","32","44","27",
"0303","체포·감금","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","","2","","2","10","-","-","2","2",
"0303","체포·감금","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","27","28","15","24","24","21","39","15","16","22",
"0303","체포·감금","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","36","42","26","29","29","44","59","31","37","50",
"0303","체포·감금","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","","","1","","-","-","-","1",
"0303","체포·감금","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","14","26","12","9","21","69","98","86","88","135",
"0303","체포·감금","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","2","1","1","4","2","10","1","6","11","5",
"0303","체포·감금","BB208","애인","BB1[14STD04548]","범죄자[명]","명","3","4","3","4","","15","10","9","9","9",
"0303","체포·감금","BB209","기타","BB1[14STD04548]","범죄자[명]","명","94","125","63","59","70","134","114","97","96","93",
"0303","체포·감금","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","445","440","507","242","263","295","652","682","721",
"0304","협박","BB1","계","BB1[14STD04548]","범죄자[명]","명","3855","4732","4682","5160","9197","16825","16599","18337","22377","22507",
"0304","협박","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","3588","2471","2441","2615","8003","15531","15127","11942","14721","14747",
"0304","협박","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","341","282","263","291","492","536","767","704","601",
"0304","협박","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","9","16","18","23","24","25","34","79","79","49",
"0304","협박","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","1","","","1","","","-","-","1","2",
"0304","협박","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","33","36","47","42","28","40","57","76","56","54",
"0304","협박","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","50","73","41","33","55","63","78","93","88","91",
"0304","협박","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","","1","","1","1","2","-","2",
"0304","협박","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","17","22","19","18","41","62","88","130","115","118",
"0304","협박","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","2","2","2","10","9","19","26","22","19","13",
"0304","협박","BB208","애인","BB1[14STD04548]","범죄자[명]","명","6","14","18","15","12","11","34","35","26","21",
"0304","협박","BB209","기타","BB1[14STD04548]","범죄자[명]","명","149","178","137","120","122","271","218","330","320","251",
"0304","협박","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","1920","1959","2282","903","802","936","5628","6952","7159",
"0305","약취·유인","BB1","계","BB1[14STD04548]","범죄자[명]","명","340","270","260","252","252","305","285","260","351","296",
"0305","약취·유인","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","235","124","96","104","127","158","163","106","129","109",
